 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
 187      SD2   0.39  70.30   9.11  -5.60   3.56 -18.54  -7.24   8.32   2.72   2.28   0.00   0.00  -0.00  -0.00   0.00   0.00
 188       S6   0.00  70.69  14.02  -6.98   3.56 -21.36  -7.24   6.35   2.33   2.29   0.00   0.00  -0.00  -0.00   0.00   0.00
 189      COR   0.00  70.69  14.02  -6.98   3.56 -21.36  -7.24   6.35   2.33   2.29   0.00   0.00  -0.00  -0.00   0.00   0.00
 190      SD3   0.20  70.69  14.02  -6.98   3.56 -21.36 -25.62   6.35   2.33   2.29   0.00   0.00  -0.00  -0.00   0.00   0.00
 191       Q7   0.46  70.89  16.95  -7.69   3.57 -26.49 -25.62   5.46   2.12   2.30   0.00   0.00  -0.00  -0.00   0.00   0.00
 192      BPM   0.00  71.35  15.87   9.66   3.57 -31.40   5.11   6.08  -3.66   2.31   0.00   0.00  -0.00   0.00   0.00   0.00
 193      SD4   0.39  71.35  15.87   9.66   3.57 -31.40   5.11   6.08  -3.66   2.31   0.00   0.00  -0.00   0.00   0.00   0.00
 194       S5   0.00  71.74   9.24   7.34   3.58 -29.40   5.11   9.29  -4.58   2.32   0.00   0.00  -0.00   0.00   0.00   0.00
 195      COR   0.00  71.74   9.24   7.35   3.58 -29.40   5.11   9.29  -4.59   2.32   0.00   0.00  -0.00   0.00   0.00   0.00
 196      SD5   0.20  71.74   9.24   7.35   3.58 -29.40   5.11   9.29  -4.59   2.32   0.00   0.00  -0.00   0.00   0.00   0.00
 197       Q6   0.32  71.94   6.54   6.16   3.58 -28.38   5.11  11.22  -5.06   2.32   0.00   0.00  -0.00   0.00   0.00   0.00
 198      SD7   0.44  72.26   3.70   3.05   3.59 -28.35  -4.94  13.21  -0.93   2.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 199     BEND   1.05  72.70   1.56   1.82   3.62 -30.53  -4.94  14.06  -0.99   2.33   0.00   0.00  -0.00  -0.00   0.00   0.00
 200      SD7   0.44  73.75   0.78  -1.08   3.92 -35.60  -4.75  15.73  -0.56   2.34   0.00   0.00  -0.00  -0.00   0.00   0.00
 201       Q4   0.32  74.19   2.26  -2.30   3.97 -37.68  -4.75  16.24  -0.60   2.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 202      SD8   0.20  74.51   4.52  -5.07   3.99 -41.96 -22.31  14.38   6.12   2.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 203       S3   0.00  74.71   6.78  -6.25   4.00 -46.42 -22.31  12.04   5.58   2.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 204      COR   0.00  74.71   6.78  -6.25   4.00 -46.42 -22.30  12.04   5.58   2.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 205      BPM   0.00  74.71   6.78  -6.25   4.00 -46.42 -22.30  12.04   5.58   2.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 206      SD9   0.48  74.71   6.78  -6.25   4.00 -46.42 -22.30  12.04   5.58   2.35   0.00   0.00  -0.00  -0.00   0.00   0.00
 207       Q5   0.32  75.19  14.08  -9.07   4.00 -57.04 -22.30   7.33   4.31   2.36   0.00   0.00  -0.00  -0.00   0.00   0.00
 208     SD10   0.47  75.51  17.18   0.03   4.01 -58.52  13.24   6.01   0.09   2.37   0.00   0.00  -0.00   0.00   0.00   0.00
 209      BPM   0.00  75.98  17.16   0.00   4.01 -52.29  13.24   5.97   0.01   2.38   0.00   0.00  -0.00   0.00   0.00   0.00
 210       S4   0.00  75.98  17.16   0.00   4.01 -52.29  13.24   5.97   0.01   2.38   0.00   0.00  -0.00   0.00   0.00   0.00
 211      COR   0.00  75.98  17.16  -0.01   4.01 -52.29  13.23   5.97   0.01   2.38   0.00   0.00  -0.00   0.00   0.00   0.00
 212     SD12   0.47  75.98  17.16  -0.01   4.01 -52.29 -19.41   5.97   0.01   2.38   0.00   0.00  -0.00  -0.00   0.00   0.00
 213       Q5   0.32  76.45  17.18  -0.03   4.02 -61.42 -19.41   6.00  -0.07   2.40   0.00   0.00  -0.00  -0.00   0.00   0.00
 214      SD9   0.48  76.77  14.09   9.07   4.02 -61.58  18.42   7.30  -4.27   2.40   0.00   0.00  -0.00   0.00   0.00   0.00
 215      BPM   0.00  77.24   6.79   6.25   4.03 -52.81  18.42  11.97  -5.53   2.41   0.00   0.00  -0.00   0.00   0.00   0.00
 216       S3   0.00  77.24   6.79   6.25   4.03 -52.81  18.42  11.97  -5.53   2.41   0.00   0.00  -0.00   0.00   0.00   0.00
 217      COR   0.00  77.24   6.79   6.26   4.03 -52.81  18.42  11.97  -5.53   2.41   0.00   0.00  -0.00   0.00   0.00   0.00
 218      SD8   0.20  77.24   6.79   6.26   4.03 -52.81  18.42  11.97  -5.53   2.41   0.00   0.00  -0.00   0.00   0.00   0.00
 219       Q4   0.32  77.44   4.52   5.07   4.03 -49.12  18.42  14.29  -6.06   2.41   0.00   0.00  -0.00   0.00   0.00   0.00
 220      SD7   0.44  77.76   2.27   2.30   4.05 -46.63  -2.69  16.13   0.61   2.42   0.00   0.00  -0.00  -0.00   0.00   0.00
 221     BEND   1.05  78.20   0.78   1.08   4.10 -47.82  -2.69  15.61   0.57   2.42   0.00   0.00  -0.00  -0.00   0.00   0.00
 222      SD6   0.79  79.25   1.55  -1.82   4.40 -50.53  -2.49  13.93   1.00   2.43   0.00   0.00  -0.00  -0.00   0.00   0.00
 223       S2   0.00  80.04   6.15  -4.01   4.44 -52.49  -2.49  12.44   0.88   2.44   0.00   0.00  -0.00  -0.00   0.00   0.00
 224      COR   0.00  80.04   6.15  -4.00   4.44 -52.49  -2.48  12.44   0.88   2.44   0.00   0.00  -0.00  -0.00   0.00   0.00
 225      SD5   0.20  80.04   6.15  -4.00   4.44 -52.49  -2.48  12.44   0.88   2.44   0.00   0.00  -0.00  -0.00   0.00   0.00
 226       Q3   0.32  80.24   7.86  -4.56   4.45 -52.99  -2.48  12.10   0.85   2.44   0.00   0.00  -0.00  -0.00   0.00   0.00
 227     SD14   0.59  80.56  11.81  -8.07   4.45 -55.75 -14.88  10.73   3.33   2.45   0.00   0.00  -0.00  -0.00   0.00   0.00
 228      BPM   0.00  81.15  23.27 -11.37   4.46 -64.53 -14.88   7.19   2.66   2.46   0.00   0.00  -0.00  -0.00   0.00   0.00
 229       Q2   0.46  81.15  23.27 -11.37   4.46 -64.53 -14.88   7.19   2.66   2.46   0.00   0.00  -0.00  -0.00   0.00   0.00
 230      SD3   0.20  81.61  24.97   8.13   4.46 -59.64  35.52   7.31  -2.95   2.47   0.00   0.00  -0.00   0.00   0.00   0.00
 231       S1   0.00  81.81  21.83   7.59   4.46 -52.53  35.52   8.54  -3.21   2.47   0.00   0.00  -0.00   0.00   0.00   0.00
 232      COR   0.00  81.81  21.83   7.59   4.46 -52.53  35.52   8.54  -3.21   2.47   0.00   0.00  -0.00   0.00   0.00   0.00
 233      SD2   0.39  81.81  21.83   7.59   4.46 -52.53  17.85   8.54  -3.21   2.47   0.00   0.00  -0.00   0.00   0.00   0.00
 234       Q1   0.32  82.20  16.32   6.54   4.47 -45.57  17.85  11.25  -3.73   2.48   0.00   0.00  -0.00   0.00   0.00   0.00
 235     FCOR   0.00  82.52  14.13   0.56   4.47 -42.54   1.29  12.27   0.68   2.49   0.00   0.00  -0.00   0.00   0.00   0.00
 236      BPM   0.00  82.52  14.13   0.56   4.47 -42.54   1.29  12.27   0.68   2.49   0.00   0.00  -0.00   0.00   0.00   0.00
 237      SD1   6.00  82.52  14.13   0.56   4.47 -42.54   1.29  12.27   0.68   2.49   0.00   0.00  -0.00   0.00   0.00   0.00
 238    SECT2   0.00  88.52  10.77   0.00   4.55 -34.78   1.29   8.37  -0.03   2.59   0.00   0.00  -0.00   0.00   0.00   0.00
 239      SD1   6.00  88.52  10.77   0.00   4.55 -34.78   1.29   8.37  -0.03   2.59   0.00   0.00  -0.00   0.00   0.00   0.00
 240      BPM   0.00  94.52  14.10  -0.56   4.63 -27.03   1.29  13.09  -0.75   2.68   0.00   0.00  -0.00   0.00   0.00   0.00
 241     FCOR   0.00  94.52  14.10  -0.56   4.63 -27.03   1.29  13.09  -0.75   2.68   0.00   0.00  -0.00   0.00   0.00   0.00
 242       Q1   0.32  94.52  14.10  -0.56   4.63 -27.03   1.29  13.09  -0.75   2.68   0.00   0.00  -0.00   0.00   0.00   0.00
 243      SD2   0.39  94.84  16.27  -6.52   4.64 -28.26  -9.10  12.01   3.96   2.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 244       S1   0.00  95.23  21.77  -7.57   4.64 -31.81  -9.10   9.14   3.42   2.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 245      COR   0.00  95.23  21.77  -7.57   4.64 -31.81  -9.10   9.14   3.42   2.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 246      SD3   0.20  95.23  21.77  -7.57   4.64 -31.81 -26.77   9.14   3.42   2.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 247       Q2   0.46  95.43  24.90  -8.10   4.64 -37.16 -26.77   7.82   3.14   2.70   0.00   0.00  -0.00  -0.00   0.00   0.00
 248      BPM   0.00  95.89  23.20  11.34   4.64 -42.22   5.46   7.70  -2.85   2.71   0.00   0.00  -0.00   0.00   0.00   0.00
 249     SD14   0.59  95.89  23.20  11.34   4.64 -42.22   5.46   7.70  -2.85   2.71   0.00   0.00  -0.00   0.00   0.00   0.00
 250       Q3   0.32  96.48  11.77   8.04   4.65 -39.00   5.46  11.48  -3.55   2.72   0.00   0.00  -0.00   0.00   0.00   0.00
 251      SD5   0.20  96.80   7.84   4.54   4.66 -38.67  -3.40  12.94  -0.90   2.72   0.00   0.00  -0.00  -0.00   0.00   0.00
 252       S2   0.00  97.00   6.13   3.99   4.66 -39.35  -3.40  13.31  -0.93   2.72   0.00   0.00  -0.00  -0.00   0.00   0.00
 253      COR   0.00  97.00   6.13   3.99   4.66 -39.35  -3.39  13.31  -0.93   2.72   0.00   0.00  -0.00  -0.00   0.00   0.00
 254      SD6   0.79  97.00   6.13   3.99   4.66 -39.35  -3.39  13.31  -0.93   2.72   0.00   0.00  -0.00  -0.00   0.00   0.00
 255     BEND   1.05  97.79   1.55   1.81   4.70 -42.03  -3.39  14.87  -1.04   2.73   0.00   0.00  -0.00  -0.00   0.00   0.00
 256      SD7   0.44  98.85   0.78  -1.08   5.00 -45.48  -3.20  16.60  -0.57   2.74   0.00   0.00  -0.00  -0.00   0.00   0.00
 257       Q4   0.32  99.29   2.27  -2.30   5.06 -46.89  -3.20  17.12  -0.61   2.75   0.00   0.00  -0.00  -0.00   0.00   0.00
 258      SD8   0.20  99.61   4.52  -5.07   5.07 -51.32 -24.85  15.15   6.46   2.75   0.00   0.00  -0.00  -0.00   0.00   0.00
 259       S3   0.00  99.81   6.79  -6.25   5.08 -56.29 -24.85  12.68   5.90   2.75   0.00   0.00  -0.00  -0.00   0.00   0.00
 260      COR   0.00  99.81   6.79  -6.25   5.08 -56.29 -24.84  12.68   5.90   2.75   0.00   0.00  -0.00  -0.00   0.00   0.00
 261      BPM   0.00  99.81   6.79  -6.25   5.08 -56.29 -24.84  12.68   5.90   2.75   0.00   0.00  -0.00  -0.00   0.00   0.00
 262      SD9   0.48  99.81   6.79  -6.25   5.08 -56.29 -24.84  12.68   5.90   2.75   0.00   0.00  -0.00  -0.00   0.00   0.00
 263       Q5   0.32 100.28  14.08  -9.06   5.09 -68.12 -24.84   7.70   4.55   2.76   0.00   0.00  -0.00  -0.00   0.00   0.00
 264     SD12   0.47 100.60  17.16   0.04   5.09 -69.33  17.43   6.30   0.12   2.77   0.00   0.00  -0.00   0.00   0.00   0.00
 265       S4   0.00 101.07  17.14   0.01   5.09 -61.13  17.43   6.22   0.05   2.78   0.00   0.00  -0.00   0.00   0.00   0.00
 266      COR   0.00 101.07  17.14   0.00   5.09 -61.13  17.42   6.22   0.05   2.78   0.00   0.00  -0.00   0.00   0.00   0.00
 267      BPM   0.00 101.07  17.14   0.00   5.09 -61.13 -15.23   6.22   0.05   2.78   0.00   0.00  -0.00  -0.00   0.00   0.00
 268     SD10   0.47 101.07  17.14   0.00   5.09 -61.13 -15.23   6.22   0.05   2.78   0.00   0.00  -0.00  -0.00   0.00   0.00
 269       Q5   0.32 101.54  17.15  -0.03   5.10 -68.29 -15.23   6.21  -0.03   2.79   0.00   0.00  -0.00  -0.00   0.00   0.00
 270      SD9   0.48 101.86  14.06   9.06   5.10 -66.50  26.23   7.52  -4.36   2.80   0.00   0.00  -0.00   0.00   0.00   0.00
 271      BPM   0.00 102.34   6.77   6.25   5.11 -54.01  26.23  12.27  -5.62   2.81   0.00   0.00  -0.00   0.00   0.00   0.00
 272       S3   0.00 102.34   6.77   6.25   5.11 -54.01  26.23  12.27  -5.62   2.81   0.00   0.00  -0.00   0.00   0.00   0.00
 273      COR   0.00 102.34   6.77   6.25   5.11 -54.01  26.24  12.27  -5.62   2.81   0.00   0.00  -0.00   0.00   0.00   0.00
 274      SD8   0.20 102.34   6.77   6.25   5.11 -54.01  26.24  12.27  -5.62   2.81   0.00   0.00  -0.00   0.00   0.00   0.00
 275       Q4   0.32 102.54   4.51   5.06   5.11 -48.76  26.24  14.63  -6.15   2.81   0.00   0.00  -0.00   0.00   0.00   0.00
 276      SD7   0.44 102.86   2.26   2.30   5.13 -43.68   5.86  16.47   0.67   2.81   0.00   0.00  -0.00   0.00   0.00   0.00
 277     BEND   1.05 103.30   0.78   1.07   5.18 -41.10   5.86  15.90   0.63   2.82   0.00   0.00  -0.00   0.00   0.00   0.00
 278      SD7   0.44 104.35   1.56  -1.83   5.48 -34.88   6.06  14.08   1.06   2.83   0.00   0.00  -0.00   0.00   0.00   0.00
 279       Q6   0.32 104.79   3.71  -3.05   5.51 -32.21   6.06  13.17   1.00   2.83   0.00   0.00  -0.00   0.00   0.00   0.00
 280      SD5   0.20 105.11   6.55  -6.16   5.52 -32.10  -5.34  11.14   5.09   2.84   0.00   0.00  -0.00  -0.00   0.00   0.00
 281       S5   0.00 105.31   9.25  -7.35   5.53 -33.17  -5.34   9.20   4.61   2.84   0.00   0.00  -0.00  -0.00   0.00   0.00
 282      COR   0.00 105.31   9.25  -7.35   5.53 -33.17  -5.34   9.20   4.61   2.84   0.00   0.00  -0.00  -0.00   0.00   0.00
 283      SD4   0.39 105.31   9.25  -7.35   5.53 -33.17  -5.34   9.20   4.61   2.84   0.00   0.00  -0.00  -0.00   0.00   0.00
 284      BPM   0.00 105.70  15.89  -9.67   5.53 -35.25  -5.34   5.98   3.67   2.85   0.00   0.00  -0.00  -0.00   0.00   0.00
 285       Q7   0.46 105.70  15.89  -9.67   5.53 -35.25  -5.34   5.98   3.67   2.85   0.00   0.00  -0.00  -0.00   0.00   0.00
 286      SD3   0.20 106.16  16.97   7.70   5.54 -29.57  29.07   5.31  -2.00   2.86   0.00   0.00  -0.00   0.00   0.00   0.00
 287       S6   0.00 106.36  14.03   6.99   5.54 -23.75  29.07   6.15  -2.19   2.87   0.00   0.00  -0.00   0.00   0.00   0.00
 288      COR   0.00 106.36  14.03   6.99   5.54 -23.75  29.07   6.15  -2.19   2.87   0.00   0.00  -0.00   0.00   0.00   0.00
 289      SD2   0.39 106.36  14.03   6.99   5.54 -23.75  10.69   6.15  -2.19   2.87   0.00   0.00  -0.00   0.00   0.00   0.00
 290       Q8   0.32 106.75   9.11   5.60   5.55 -19.58  10.69   8.01  -2.56   2.88   0.00   0.00  -0.00   0.00   0.00   0.00
 291     FCOR   0.00 107.07   7.17   0.84   5.55 -17.79   0.66   8.24   1.88   2.88   0.00   0.00  -0.00   0.00   0.00   0.00
 292      BPM   0.00 107.07   7.17   0.84   5.55 -17.79   0.66   8.24   1.88   2.88   0.00   0.00  -0.00   0.00   0.00   0.00
 293     SD13   3.48 107.07   7.17   0.84   5.55 -17.79   0.66   8.24   1.88   2.88   0.00   0.00  -0.00   0.00   0.00   0.00
 294     SD13   3.48 110.55   4.21   0.01   5.66 -15.49   0.66   1.81  -0.04   3.06   0.00   0.00  -0.00   0.00   0.00   0.00
 295      BPM   0.00 114.04   7.02  -0.82   5.77 -13.19   0.66   8.79  -1.96   3.23   0.00   0.00  -0.00   0.00   0.00   0.00
 296     FCOR   0.00 114.04   7.02  -0.82   5.77 -13.19   0.66   8.79  -1.96   3.23   0.00   0.00  -0.00   0.00   0.00   0.00
 297       Q8   0.32 114.04   7.02  -0.82   5.77 -13.19   0.66   8.79  -1.96   3.23   0.00   0.00  -0.00   0.00   0.00   0.00
 298      SD2   0.39 114.36   8.93  -5.49   5.78 -14.14  -6.68   8.52   2.78   3.24   0.00   0.00  -0.00  -0.00   0.00   0.00
 299       S8   0.00 114.75  13.73  -6.84   5.78 -16.75  -6.68   6.51   2.38   3.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 300      COR   0.00 114.75  13.73  -6.85   5.78 -16.75  -6.68   6.51   2.38   3.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 301      SD3   0.20 114.75  13.73  -6.85   5.78 -16.75 -26.30   6.51   2.38   3.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 302       Q7   0.46 114.95  16.61  -7.54   5.79 -22.01 -26.30   5.60   2.17   3.25   0.00   0.00  -0.00  -0.00   0.00   0.00
 303      BPM   0.00 115.41  15.56   9.47   5.79 -28.22   0.36   6.23  -3.75   3.26   0.00   0.00  -0.00   0.00   0.00   0.00
 304      SD4   0.39 115.41  15.56   9.47   5.79 -28.22   0.36   6.23  -3.75   3.26   0.00   0.00  -0.00   0.00   0.00   0.00
 305       S7   0.00 115.80   9.06   7.19   5.80 -28.08   0.36   9.52  -4.69   3.27   0.00   0.00  -0.00   0.00   0.00   0.00
 306      COR   0.00 115.80   9.06   7.20   5.80 -28.08   0.37   9.52  -4.69   3.27   0.00   0.00  -0.00   0.00   0.00   0.00
 307      SD5   0.20 115.80   9.06   7.20   5.80 -28.08   0.37   9.52  -4.69   3.27   0.00   0.00  -0.00   0.00   0.00   0.00
 308       Q6   0.32 116.00   6.41   6.03   5.80 -28.00   0.37  11.49  -5.18   3.28   0.00   0.00  -0.00   0.00   0.00   0.00
 309      SD7   0.44 116.32   3.63   2.98   5.81 -29.50  -9.82  13.53  -0.95   3.28   0.00   0.00  -0.00  -0.00   0.00   0.00
 310     BEND   1.05 116.76   1.54   1.78   5.84 -33.83  -9.82  14.39  -1.01   3.28   0.00   0.00  -0.00  -0.00   0.00   0.00
 311      SD7   0.44 117.81   0.78  -1.06   6.14 -44.00  -9.63  16.08  -0.56   3.30   0.00   0.00  -0.00  -0.00   0.00   0.00
 312       Q9   0.32 118.25   2.24  -2.26   6.19 -48.23  -9.63  16.59  -0.60   3.30   0.00   0.00  -0.00  -0.00   0.00   0.00
 313      SD8   0.20 118.57   4.57  -5.42   6.21 -55.63 -37.30  14.23   7.54   3.30   0.00   0.00  -0.00  -0.00   0.00   0.00
 314       S9   0.00 118.77   7.00  -6.75   6.21 -63.09 -37.30  11.37   6.73   3.31   0.00   0.00  -0.00  -0.00   0.00   0.00
 315      COR   0.00 118.77   7.00  -6.74   6.21 -63.09 -37.29  11.37   6.72   3.31   0.00   0.00  -0.00  -0.00   0.00   0.00
 316      BPM   0.00 118.77   7.00  -6.74   6.21 -63.09 -37.29  11.37   6.72   3.31   0.00   0.00  -0.00  -0.00   0.00   0.00
 317      SD9   0.48 118.77   7.00  -6.74   6.21 -63.09 -37.29  11.37   6.72   3.31   0.00   0.00  -0.00  -0.00   0.00   0.00
 318      Q10   0.32 119.25  14.93  -9.91   6.22 -80.86 -37.29   5.89   4.79   3.31   0.00   0.00  -0.00  -0.00   0.00   0.00
 319      SD8   0.20 119.57  18.29   0.13   6.23 -84.41  15.47   4.11   1.15   3.33   0.00   0.00  -0.00   0.00   0.00   0.00
 320      S10   0.00 119.77  18.24   0.12   6.23 -81.31  15.47   3.67   1.04   3.33   0.00   0.00  -0.00   0.00   0.00   0.00
 321      COR   0.00 119.77  18.24   0.11   6.23 -81.31  15.46   3.67   1.04   3.33   0.00   0.00  -0.00   0.00   0.00   0.00
 322     FCOR   0.00 119.77  18.24   0.11   6.23 -81.31   0.27   3.67   1.04   3.33   0.00   0.00  -0.00   0.00   0.00   0.00
 323      BPM   0.00 119.77  18.24   0.11   6.23 -81.31   0.27   3.67   1.04   3.33   0.00   0.00  -0.00   0.00   0.00   0.00
 324     SDAC   1.90 119.77  18.24   0.11   6.23 -81.31   0.27   3.67   1.04   3.33   0.00   0.00  -0.00   0.00   0.00   0.00
 325     SDAC   1.90 121.67  18.01   0.01   6.24 -80.80   0.27   1.77  -0.04   3.47   0.00   0.00  -0.00   0.00   0.00   0.00
 326      BPM   0.00 123.57  18.18  -0.10   6.26 -80.30   0.27   3.97  -1.12   3.60   0.00   0.00  -0.00   0.00   0.00   0.00
 327     FCOR   0.00 123.57  18.18  -0.10   6.26 -80.30   0.27   3.97  -1.12   3.60   0.00   0.00  -0.00   0.00   0.00   0.00
 328      S10   0.00 123.57  18.18  -0.10   6.26 -80.30   0.27   3.97  -1.12   3.60   0.00   0.00  -0.00   0.00   0.00   0.00
 329      COR   0.00 123.57  18.18  -0.10   6.26 -80.30   0.25   3.97  -1.12   3.60   0.00   0.00  -0.00   0.00   0.00   0.00
 330      SD8   0.20 123.57  18.18  -0.10   6.26 -80.30 -14.95   3.97  -1.12   3.60   0.00   0.00  -0.00  -0.00   0.00   0.00
 331      Q10   0.32 123.77  18.23  -0.12   6.26 -83.29 -14.95   4.44  -1.23   3.60   0.00   0.00  -0.00  -0.00   0.00   0.00
 332      SD9   0.48 124.09  14.87   9.88   6.27 -79.68  37.08   6.35  -5.14   3.61   0.00   0.00  -0.00   0.00   0.00   0.00
 333      BPM   0.00 124.57   6.96   6.72   6.27 -62.02  37.08  12.23  -7.19   3.62   0.00   0.00  -0.00   0.00   0.00   0.00
 334       S9   0.00 124.57   6.96   6.72   6.27 -62.02  37.08  12.23  -7.19   3.62   0.00   0.00  -0.00   0.00   0.00   0.00
 335      COR   0.00 124.57   6.96   6.73   6.27 -62.02  37.10  12.23  -7.20   3.62   0.00   0.00  -0.00   0.00   0.00   0.00
 336      SD8   0.20 124.57   6.96   6.73   6.27 -62.02  37.10  12.23  -7.20   3.62   0.00   0.00  -0.00   0.00   0.00   0.00
 337       Q9   0.32 124.77   4.54   5.40   6.28 -54.60  37.10  15.28  -8.06   3.62   0.00   0.00  -0.00   0.00   0.00   0.00
 338      SD7   0.44 125.09   2.22   2.25   6.29 -47.17   9.98  17.79   0.68   3.63   0.00   0.00  -0.00   0.00   0.00   0.00
 339     BEND   1.05 125.53   0.77   1.05   6.35 -42.78   9.98  17.20   0.64   3.63   0.00   0.00  -0.00   0.00   0.00   0.00
 340      SD7   0.44 126.58   1.56  -1.80   6.65 -32.24  10.18  15.31   1.12   3.64   0.00   0.00  -0.00   0.00   0.00   0.00
 341       Q6   0.32 127.02   3.67  -3.00   6.68 -27.77  10.18  14.35   1.06   3.65   0.00   0.00  -0.00   0.00   0.00   0.00
 342      SD5   0.20 127.34   6.47  -6.08   6.69 -26.05   0.64  12.15   5.53   3.65   0.00   0.00  -0.00   0.00   0.00   0.00
 343       S7   0.00 127.54   9.14  -7.25   6.69 -25.92   0.64  10.05   5.01   3.65   0.00   0.00  -0.00   0.00   0.00   0.00
 344      COR   0.00 127.54   9.14  -7.25   6.69 -25.92   0.64  10.05   5.01   3.65   0.00   0.00  -0.00   0.00   0.00   0.00
 345      SD4   0.39 127.54   9.14  -7.25   6.69 -25.92   0.64  10.05   5.01   3.65   0.00   0.00  -0.00   0.00   0.00   0.00
 346      BPM   0.00 127.93  15.68  -9.53   6.70 -25.67   0.64   6.53   4.00   3.66   0.00   0.00  -0.00   0.00   0.00   0.00
 347       Q7   0.46 127.93  15.68  -9.53   6.70 -25.67   0.64   6.53   4.00   3.66   0.00   0.00  -0.00   0.00   0.00   0.00
 348      SD3   0.20 128.39  16.73   7.61   6.70 -19.61  24.68   5.81  -2.18   3.67   0.00   0.00  -0.00   0.00   0.00   0.00
 349       S8   0.00 128.59  13.83   6.90   6.70 -14.67  24.68   6.72  -2.38   3.68   0.00   0.00  -0.00   0.00   0.00   0.00
 350      COR   0.00 128.59  13.83   6.90   6.70 -14.67  24.68   6.72  -2.38   3.68   0.00   0.00  -0.00   0.00   0.00   0.00
 351      SD2   0.39 128.59  13.83   6.90   6.70 -14.67   5.09   6.72  -2.38   3.68   0.00   0.00  -0.00   0.00   0.00   0.00
 352       Q8   0.32 128.98   8.98   5.53   6.71 -12.69   5.09   8.73  -2.77   3.69   0.00   0.00  -0.00   0.00   0.00   0.00
 353     FCOR   0.00 129.30   7.05   0.83   6.72 -12.13  -1.57   8.97   2.08   3.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 354      BPM   0.00 129.30   7.05   0.83   6.72 -12.13  -1.57   8.97   2.08   3.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 355     SD13   3.48 129.30   7.05   0.83   6.72 -12.13  -1.57   8.97   2.08   3.69   0.00   0.00  -0.00  -0.00   0.00   0.00
 356     SD13   3.48 132.79   4.16  -0.00   6.83 -17.60  -1.57   1.68   0.01   3.87   0.00   0.00  -0.00  -0.00   0.00   0.00
 357      BPM   0.00 136.27   7.10  -0.84   6.94 -23.06  -1.57   8.82  -2.06   4.05   0.00   0.00  -0.00  -0.00   0.00   0.00
 358     FCOR   0.00 136.27   7.10  -0.84   6.94 -23.06  -1.57   8.82  -2.06   4.05   0.00   0.00  -0.00  -0.00   0.00   0.00
 359       Q8   0.32 136.27   7.10  -0.84   6.94 -23.06  -1.57   8.82  -2.06   4.05   0.00   0.00  -0.00  -0.00   0.00   0.00
 360      SD2   0.39 136.59   9.04  -5.57   6.94 -25.62 -14.64   8.59   2.71   4.05   0.00   0.00  -0.00  -0.00   0.00   0.00
 361       S8   0.00 136.98  13.92  -6.95   6.95 -31.33 -14.64   6.63   2.33   4.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 362      COR   0.00 136.98  13.92  -6.95   6.95 -31.33 -14.64   6.63   2.33   4.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 363      SD3   0.20 136.98  13.92  -6.95   6.95 -31.33 -34.23   6.63   2.33   4.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 364       Q7   0.46 137.18  16.84  -7.66   6.95 -38.18 -34.23   5.73   2.14   4.07   0.00   0.00  -0.00  -0.00   0.00   0.00
 365      BPM   0.00 137.64  15.78   9.59   6.96 -44.11   9.45   6.46  -3.97   4.08   0.00   0.00  -0.00   0.00   0.00   0.00
 366      SD4   0.39 137.64  15.78   9.59   6.96 -44.11   9.45   6.46  -3.97   4.08   0.00   0.00  -0.00   0.00   0.00   0.00
 367       S7   0.00 138.03   9.20   7.29   6.96 -40.42   9.45   9.96  -4.99   4.09   0.00   0.00  -0.00   0.00   0.00   0.00
 368      COR   0.00 138.03   9.20   7.30   6.96 -40.42   9.46   9.96  -4.99   4.09   0.00   0.00  -0.00   0.00   0.00   0.00
 369      SD5   0.20 138.03   9.20   7.30   6.96 -40.42   9.46   9.96  -4.99   4.09   0.00   0.00  -0.00   0.00   0.00   0.00
 370       Q6   0.32 138.23   6.52   6.12   6.96 -38.53   9.46  12.06  -5.51   4.09   0.00   0.00  -0.00   0.00   0.00   0.00
 371      SD7   0.44 138.55   3.70   3.02   6.98 -37.67  -4.05  14.25  -1.07   4.09   0.00   0.00  -0.00  -0.00   0.00   0.00
 372     BEND   1.05 138.99   1.57   1.82   7.00 -39.45  -4.05  15.22  -1.14   4.10   0.00   0.00  -0.00  -0.00   0.00   0.00
